model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,53,max,0.8,0.5188250922486429,0.5327207653238543,0.5454545454545454,0.11735941320293398,0.193158953722334,0.10864197530864197
NaiveBayes,53,max,0.8,0.6541712031181734,0.48938168027364354,0.5377358490566038,0.2787286063569682,0.3671497584541063,0.2617283950617284
SVM(Linear),53,max,0.8,0.06234509752258558,0.48413196836758965,0.043478260869565216,0.0024449877750611247,0.004629629629629629,0.028395061728395062
LogReg,54,max,0.8,0.5242533789126138,0.5175508661110061,0.46808510638297873,0.05378973105134474,0.09649122807017543,0.05802469135802469
NaiveBayes,54,max,0.8,0.6697455775372192,0.5124657793169888,0.5125,0.30073349633251834,0.3790446841294299,0.2962962962962963
SVM(Linear),54,max,0.8,0.07378459934681218,0.48647330329433136,0.045454545454545456,0.0024449877750611247,0.004640371229698376,0.027160493827160494
LogReg,55,max,0.8,0.5337244452541484,0.4699132364687304,0.18518518518518517,0.012224938875305624,0.022935779816513763,0.03333333333333333
NaiveBayes,55,max,0.8,0.701552752115467,0.4885890408453195,0.4925925925925926,0.3251833740831296,0.3917525773195876,0.3333333333333333
SVM(Linear),55,max,0.8,0.08107473920535879,0.4572371028419172,0.058823529411764705,0.004889975550122249,0.009029345372460496,0.04197530864197531
LogReg,56,max,0.8,0.5270662767287967,0.48204671694846013,0.24324324324324326,0.022004889975550123,0.04035874439461883,0.04567901234567901
NaiveBayes,56,max,0.8,0.7146368748840847,0.522007938588736,0.5274725274725275,0.35207823960880197,0.4222873900293255,0.337037037037037
SVM(Linear),56,max,0.8,0.07329258720486904,0.42765336048631475,0.03125,0.0024449877750611247,0.0045351473922902496,0.03950617283950617
LogReg,57,max,0.8,0.518107894959284,0.41855020151333155,0.3442622950819672,0.05134474327628362,0.08936170212765958,0.07530864197530865
NaiveBayes,57,max,0.8,0.7107301260186092,0.49917382582663145,0.5,0.3276283618581907,0.39586410635155095,0.3308641975308642
SVM(Linear),57,max,0.8,0.055432197313824275,0.406611832277497,0.10256410256410256,0.009779951100244499,0.017857142857142856,0.04814814814814815
LogReg,58,max,0.8,0.5235246434889016,0.39821595156363376,0.06060606060606061,0.004889975550122249,0.00904977375565611,0.040740740740740744
NaiveBayes,58,max,0.8,0.6650495650196983,0.49628374052643454,0.49834983498349833,0.3691931540342298,0.4241573033707865,0.37407407407407406
SVM(Linear),58,max,0.8,0.06966185210959548,0.4070264436707742,0.09375,0.007334963325183374,0.013605442176870748,0.03950617283950617
LogReg,59,max,0.8,0.5305505831981883,0.47229115475370254,0.043478260869565216,0.0024449877750611247,0.004629629629629629,0.028395061728395062
NaiveBayes,59,max,0.8,0.6134796260355062,0.5264650110664658,0.5333333333333333,0.31295843520782396,0.39445300462249616,0.2962962962962963
SVM(Linear),59,max,0.8,0.08448908789341526,0.44714619319671484,0.1,0.007334963325183374,0.01366742596810934,0.037037037037037035
LogReg,60,max,0.8,0.53408063071516,0.4318787383619191,0.0,0.0,0.0,0.03580246913580247
NaiveBayes,60,max,0.8,0.5931628177737963,0.5065819558682755,0.49740932642487046,0.23471882640586797,0.31893687707641194,0.2382716049382716
SVM(Linear),60,max,0.8,0.08180255432621755,0.40931290356017047,0.05405405405405406,0.004889975550122249,0.008968609865470852,0.04567901234567901
LogReg,61,max,0.8,0.5238777722434531,0.44342078788359174,0.13793103448275862,0.009779951100244499,0.0182648401826484,0.03580246913580247
NaiveBayes,61,max,0.8,0.5771576462050093,0.5435433421336634,0.5517241379310345,0.23471882640586797,0.3293310463121784,0.21481481481481482
SVM(Linear),61,max,0.8,0.07060886844902861,0.42570224804736323,0.12,0.007334963325183374,0.013824884792626729,0.030864197530864196
