model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,32,max,0.95,0.5191607509843795,0.48993652787347036,0.0,0.0,0.0,0.009876543209876543
NaiveBayes,32,max,0.95,0.6239801171284449,0.5629386192221159,0.5172413793103449,0.1100244498777506,0.1814516129032258,0.10740740740740741
SVM(Linear),32,max,0.95,0.06750397432524528,0.42847648604649746,0.0,0.0,0.0,0.013580246913580247
LogReg,56,max,0.95,0.5375471835745084,0.48204671694846013,0.0,0.0,0.0,0.007407407407407408
NaiveBayes,56,max,0.95,0.7983192649228621,0.522007938588736,0.5581395348837209,0.11735941320293398,0.19393939393939394,0.10617283950617284
SVM(Linear),56,max,0.95,0.10944547428163272,0.42765336048631475,0.0,0.0,0.0,0.011111111111111112
LogReg,64,max,0.95,0.5447667428933519,0.4402990079812693,0.0,0.0,0.0,0.011111111111111112
NaiveBayes,64,max,0.95,0.792531004801782,0.547939442347676,0.5108695652173914,0.11491442542787286,0.18762475049900199,0.11358024691358025
SVM(Linear),64,max,0.95,0.12196366870295167,0.41797096500801784,0.0,0.0,0.0,0.014814814814814815
LogReg,80,max,0.95,0.5477647929594195,0.5076977482943009,0.0,0.0,0.0,0.0049382716049382715
NaiveBayes,80,max,0.95,0.7936849146461994,0.5540732520776298,0.5694444444444444,0.10024449877750612,0.1704781704781705,0.08888888888888889
SVM(Linear),80,max,0.95,0.1308329631163094,0.45862117322829843,0.0,0.0,0.0,0.006172839506172839
LogReg,8,max,0.97,0.5005134781277655,0.5579206019181875,0.5555555555555556,0.0488997555012225,0.0898876404494382,0.044444444444444446
NaiveBayes,8,max,0.97,0.509325295705002,0.5483845398728118,0.45,0.022004889975550123,0.04195804195804196,0.024691358024691357
SVM(Linear),8,max,0.97,0.00479730290128074,0.4197513551085611,0.0,0.0,0.0,0.0049382716049382715
LogReg,16,max,0.97,0.5039446020376652,0.5401410898182417,0.125,0.0024449877750611247,0.004796163069544364,0.009876543209876543
NaiveBayes,16,max,0.97,0.5402341238302082,0.5317513063307502,0.5,0.022004889975550123,0.04215456674473068,0.022222222222222223
SVM(Linear),16,max,0.97,0.035653996395729054,0.43931125730905013,0.14285714285714285,0.0024449877750611247,0.004807692307692308,0.008641975308641974
LogReg,32,max,0.97,0.521460749762629,0.48993652787347036,0.0,0.0,0.0,0.007407407407407408
NaiveBayes,32,max,0.97,0.6402834978069278,0.5629386192221159,0.5909090909090909,0.06356968215158924,0.11479028697571744,0.05432098765432099
SVM(Linear),32,max,0.97,0.07285303036139393,0.42847648604649746,0.0,0.0,0.0,0.007407407407407408
LogReg,56,max,0.97,0.5402535964671762,0.48204671694846013,0.0,0.0,0.0,0.007407407407407408
NaiveBayes,56,max,0.97,0.8185829284558371,0.522007938588736,0.5,0.07090464547677261,0.12419700214132762,0.07160493827160494
SVM(Linear),56,max,0.97,0.12005135143296429,0.42765336048631475,0.0,0.0,0.0,0.008641975308641974
LogReg,64,max,0.97,0.5491559911595656,0.4402990079812693,0.0,0.0,0.0,0.006172839506172839
NaiveBayes,64,max,0.97,0.8243327410965948,0.547939442347676,0.4642857142857143,0.06356968215158924,0.11182795698924732,0.0691358024691358
SVM(Linear),64,max,0.97,0.13838929935217673,0.41797096500801784,0.0,0.0,0.0,0.006172839506172839
LogReg,80,max,0.97,0.5515101190294064,0.5076977482943009,0.0,0.0,0.0,0.003703703703703704
NaiveBayes,80,max,0.97,0.8233952977322009,0.5540732520776298,0.55,0.05378973105134474,0.09799554565701558,0.04938271604938271
SVM(Linear),80,max,0.97,0.14502216312974714,0.45862117322829843,0.0,0.0,0.0,0.0012345679012345679
LogReg,8,max,0.98,0.5005388613535321,0.5579206019181875,0.5833333333333334,0.034229828850855744,0.06466512702078522,0.02962962962962963
NaiveBayes,8,max,0.98,0.5106182260464054,0.5483845398728118,0.46153846153846156,0.014669926650366748,0.02843601895734597,0.016049382716049384
SVM(Linear),8,max,0.98,0.00510752807493018,0.4197513551085611,0.0,0.0,0.0,0.0024691358024691358
LogReg,16,max,0.98,0.5041405842558895,0.5401410898182417,0.14285714285714285,0.0024449877750611247,0.004807692307692308,0.008641975308641974
NaiveBayes,16,max,0.98,0.544731706343668,0.5317513063307502,0.6,0.014669926650366748,0.028639618138424822,0.012345679012345678
SVM(Linear),16,max,0.98,0.03797308298212877,0.43931125730905013,0.25,0.0024449877750611247,0.004842615012106538,0.0049382716049382715
LogReg,32,max,0.98,0.5224446058427779,0.48993652787347036,0.0,0.0,0.0,0.003703703703703704
NaiveBayes,32,max,0.98,0.6514327476083196,0.5629386192221159,0.5625,0.044009779951100246,0.08163265306122448,0.03950617283950617
SVM(Linear),32,max,0.98,0.0792071664311559,0.42847648604649746,0.0,0.0,0.0,0.003703703703703704
LogReg,56,max,0.98,0.5428438963324707,0.48204671694846013,0.0,0.0,0.0,0.0049382716049382715
NaiveBayes,56,max,0.98,0.8338432781893228,0.522007938588736,0.5,0.04645476772616137,0.08501118568232663,0.04691358024691358
SVM(Linear),56,max,0.98,0.12891884879462395,0.42765336048631475,0.0,0.0,0.0,0.006172839506172839
LogReg,64,max,0.98,0.5533690008674589,0.4402990079812693,0.0,0.0,0.0,0.003703703703703704
NaiveBayes,64,max,0.98,0.834478293793222,0.547939442347676,0.4222222222222222,0.04645476772616137,0.08370044052863436,0.05555555555555555
SVM(Linear),64,max,0.98,0.1458463806748383,0.41797096500801784,0.0,0.0,0.0,0.0049382716049382715
LogReg,80,max,0.98,0.5542563216521149,0.5076977482943009,0.0,0.0,0.0,0.0
NaiveBayes,80,max,0.98,0.8388438097629075,0.5540732520776298,0.5588235294117647,0.04645476772616137,0.08577878103837472,0.04197530864197531
SVM(Linear),80,max,0.98,0.15397426947026588,0.45862117322829843,0.0,0.0,0.0,0.0012345679012345679
LogReg,8,max,0.99,0.5005630666019878,0.5579206019181875,0.38461538461538464,0.012224938875305624,0.023696682464454975,0.016049382716049384
NaiveBayes,8,max,0.99,0.5130829507426169,0.5483845398728118,0.7142857142857143,0.012224938875305624,0.02403846153846154,0.008641975308641974
SVM(Linear),8,max,0.99,0.005538261825778161,0.4197513551085611,0.0,0.0,0.0,0.0012345679012345679
LogReg,16,max,0.99,0.5044338981792543,0.5401410898182417,0.0,0.0,0.0,0.0049382716049382715
NaiveBayes,16,max,0.99,0.5526632555900969,0.5317513063307502,0.4,0.004889975550122249,0.00966183574879227,0.006172839506172839
SVM(Linear),16,max,0.99,0.04185150150071457,0.43931125730905013,0.0,0.0,0.0,0.0
LogReg,32,max,0.99,0.524636780138086,0.48993652787347036,0.0,0.0,0.0,0.0012345679012345679
NaiveBayes,32,max,0.99,0.6749233235707353,0.5629386192221159,0.6,0.022004889975550123,0.04245283018867924,0.018518518518518517
SVM(Linear),32,max,0.99,0.08859467818596388,0.42847648604649746,0.0,0.0,0.0,0.0024691358024691358
LogReg,56,max,0.99,0.5468688646522003,0.48204671694846013,0.0,0.0,0.0,0.003703703703703704
NaiveBayes,56,max,0.99,0.857074439173902,0.522007938588736,0.631578947368421,0.029339853300733496,0.056074766355140186,0.02345679012345679
SVM(Linear),56,max,0.99,0.14029223979763836,0.42765336048631475,0.0,0.0,0.0,0.0049382716049382715
LogReg,64,max,0.99,0.5581775954075513,0.4402990079812693,0.0,0.0,0.0,0.0024691358024691358
NaiveBayes,64,max,0.99,0.8675520146278078,0.547939442347676,0.45,0.022004889975550123,0.04195804195804196,0.024691358024691357
SVM(Linear),64,max,0.99,0.16428622595151282,0.41797096500801784,0.0,0.0,0.0,0.0012345679012345679
LogReg,80,max,0.99,0.5591765878966687,0.5076977482943009,0.0,0.0,0.0,0.0
NaiveBayes,80,max,0.99,0.874903796293394,0.5540732520776298,0.6,0.022004889975550123,0.04245283018867924,0.018518518518518517
SVM(Linear),80,max,0.99,0.16982507556355023,0.45862117322829843,0.0,0.0,0.0,0.0012345679012345679
LogReg,8,max,0.995,0.5006208661152496,0.5579206019181875,0.2857142857142857,0.004889975550122249,0.009615384615384616,0.008641975308641974
NaiveBayes,8,max,0.995,0.5149838335911461,0.5483845398728118,1.0,0.004889975550122249,0.009732360097323601,0.0024691358024691358
SVM(Linear),8,max,0.995,0.006146044222916436,0.4197513551085611,0.0,0.0,0.0,0.0
LogReg,16,max,0.995,0.5050257085400888,0.5401410898182417,0.0,0.0,0.0,0.0
NaiveBayes,16,max,0.995,0.5580186059325599,0.5317513063307502,1.0,0.0024449877750611247,0.004878048780487805,0.0012345679012345679
SVM(Linear),16,max,0.995,0.0461954009914021,0.43931125730905013,0.0,0.0,0.0,0.0
LogReg,32,max,0.995,0.5259628374787855,0.48993652787347036,0.0,0.0,0.0,0.0012345679012345679
NaiveBayes,32,max,0.995,0.6895063467513111,0.5629386192221159,0.5714285714285714,0.009779951100244499,0.019230769230769232,0.008641975308641974
SVM(Linear),32,max,0.995,0.09529929067534612,0.42847648604649746,0.0,0.0,0.0,0.0012345679012345679
LogReg,56,max,0.995,0.5504274857583232,0.48204671694846013,0.0,0.0,0.0,0.0024691358024691358
NaiveBayes,56,max,0.995,0.8870939400964672,0.522007938588736,0.7142857142857143,0.012224938875305624,0.02403846153846154,0.008641975308641974
SVM(Linear),56,max,0.995,0.14742227204811842,0.42765336048631475,0.0,0.0,0.0,0.003703703703703704
LogReg,64,max,0.995,0.5621131268763755,0.4402990079812693,0.0,0.0,0.0,0.0012345679012345679
NaiveBayes,64,max,0.995,0.8964295463991243,0.547939442347676,0.16666666666666666,0.0024449877750611247,0.004819277108433735,0.007407407407407408
SVM(Linear),64,max,0.995,0.17131284969455532,0.41797096500801784,0.0,0.0,0.0,0.0012345679012345679
LogReg,80,max,0.995,0.5666577047133458,0.5076977482943009,0.0,0.0,0.0,0.0
NaiveBayes,80,max,0.995,0.9077656327041934,0.5540732520776298,0.5,0.007334963325183374,0.014457831325301205,0.007407407407407408
SVM(Linear),80,max,0.995,0.18683556947834182,0.45862117322829843,0.0,0.0,0.0,0.0012345679012345679
