model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,8,max,0.8,0.5004203337056187,0.5579206019181875,0.5454545454545454,0.32273838630806845,0.4055299539170507,0.29876543209876544
NaiveBayes,8,max,0.8,0.5022875456391431,0.5483845398728118,0.5782312925170068,0.2078239608801956,0.3057553956834532,0.1814814814814815
SVM(Linear),8,max,0.8,0.0034922807131683017,0.4197513551085611,0.05555555555555555,0.004889975550122249,0.008988764044943821,0.044444444444444446
LogReg,16,max,0.8,0.5029635030769543,0.5401410898182417,0.5443037974683544,0.10513447432762836,0.1762295081967213,0.09753086419753086
NaiveBayes,16,max,0.8,0.5219982639231482,0.5317513063307502,0.5953757225433526,0.25183374083129584,0.3539518900343643,0.21358024691358024
SVM(Linear),16,max,0.8,0.024700286400672688,0.43931125730905013,0.05714285714285714,0.004889975550122249,0.009009009009009009,0.043209876543209874
LogReg,32,max,0.8,0.5147732883158586,0.48993652787347036,0.17142857142857143,0.014669926650366748,0.02702702702702703,0.043209876543209874
NaiveBayes,32,max,0.8,0.5870890012746985,0.5629386192221159,0.5708333333333333,0.33496332518337407,0.4221879815100154,0.2962962962962963
SVM(Linear),32,max,0.8,0.0488553281140363,0.42847648604649746,0.08,0.004889975550122249,0.009216589861751152,0.030864197530864196
LogReg,56,max,0.8,0.5270662767287967,0.48204671694846013,0.24324324324324326,0.022004889975550123,0.04035874439461883,0.04567901234567901
NaiveBayes,56,max,0.8,0.7146368748840847,0.522007938588736,0.5274725274725275,0.35207823960880197,0.4222873900293255,0.337037037037037
SVM(Linear),56,max,0.8,0.07329258720486904,0.42765336048631475,0.03125,0.0024449877750611247,0.0045351473922902496,0.03950617283950617
LogReg,64,max,0.8,0.5319461704797938,0.4402990079812693,0.0,0.0,0.0,0.03827160493827161
NaiveBayes,64,max,0.8,0.7021516324644035,0.547939442347676,0.5574324324324325,0.4034229828850856,0.46808510638297873,0.3654320987654321
SVM(Linear),64,max,0.8,0.08436060170322947,0.41797096500801784,0.06666666666666667,0.004889975550122249,0.009111617312072893,0.037037037037037035
LogReg,80,max,0.8,0.5334139897818571,0.5076977482943009,0.23529411764705882,0.019559902200488997,0.03611738148984198,0.04197530864197531
NaiveBayes,80,max,0.8,0.7095928905827644,0.5540732520776298,0.5330396475770925,0.29584352078239606,0.3805031446540881,0.2802469135802469
SVM(Linear),80,max,0.8,0.09109862000124545,0.45862117322829843,0.08695652173913043,0.004889975550122249,0.009259259259259259,0.028395061728395062
LogReg,8,max,0.9,0.5004600985859501,0.5579206019181875,0.5317460317460317,0.16381418092909536,0.2504672897196262,0.15555555555555556
NaiveBayes,8,max,0.9,0.5046019645922802,0.5483845398728118,0.5492957746478874,0.09535452322738386,0.1625,0.08765432098765433
SVM(Linear),8,max,0.9,0.003993515482257646,0.4197513551085611,0.08,0.004889975550122249,0.009216589861751152,0.030864197530864196
LogReg,16,max,0.9,0.503376275275635,0.5401410898182417,0.4722222222222222,0.04156479217603912,0.07640449438202247,0.044444444444444446
NaiveBayes,16,max,0.9,0.5281927095469946,0.5317513063307502,0.625,0.12224938875305623,0.20449897750511248,0.09876543209876543
SVM(Linear),16,max,0.9,0.029052835803926504,0.43931125730905013,0.045454545454545456,0.0024449877750611247,0.004640371229698376,0.027160493827160494
LogReg,32,max,0.9,0.5171248932352157,0.48993652787347036,0.13333333333333333,0.004889975550122249,0.009433962264150943,0.018518518518518517
NaiveBayes,32,max,0.9,0.6081588204871391,0.5629386192221159,0.5714285714285714,0.19559902200489,0.29143897996357016,0.1728395061728395
SVM(Linear),32,max,0.9,0.05937152681310649,0.42847648604649746,0.0,0.0,0.0,0.022222222222222223
LogReg,56,max,0.9,0.5327547597314977,0.48204671694846013,0.0,0.0,0.0,0.020987654320987655
NaiveBayes,56,max,0.9,0.7646549315728772,0.522007938588736,0.5267175572519084,0.1687041564792176,0.25555555555555554,0.1617283950617284
SVM(Linear),56,max,0.9,0.09328760207102427,0.42765336048631475,0.0,0.0,0.0,0.019753086419753086
LogReg,64,max,0.9,0.5388775994931925,0.4402990079812693,0.0,0.0,0.0,0.022222222222222223
NaiveBayes,64,max,0.9,0.7510572298856741,0.547939442347676,0.543859649122807,0.2273838630806846,0.32068965517241377,0.2111111111111111
SVM(Linear),64,max,0.9,0.10227074647274727,0.41797096500801784,0.05,0.0024449877750611247,0.004662004662004662,0.024691358024691357
LogReg,80,max,0.9,0.5411642858600532,0.5076977482943009,0.09090909090909091,0.0024449877750611247,0.004761904761904762,0.013580246913580247
NaiveBayes,80,max,0.9,0.7581446131983001,0.5540732520776298,0.5798319327731093,0.1687041564792176,0.26136363636363635,0.1469135802469136
SVM(Linear),80,max,0.9,0.1115768195687759,0.45862117322829843,0.0,0.0,0.0,0.009876543209876543
LogReg,8,max,0.95,0.5004936183926453,0.5579206019181875,0.5666666666666667,0.08312958435207823,0.14498933901918976,0.07407407407407407
NaiveBayes,8,max,0.95,0.5074901920156654,0.5483845398728118,0.5517241379310345,0.039119804400977995,0.0730593607305936,0.03580246913580247
SVM(Linear),8,max,0.95,0.004484469291094609,0.4197513551085611,0.0,0.0,0.0,0.011111111111111112
LogReg,16,max,0.95,0.5036972579963189,0.5401410898182417,0.25,0.009779951100244499,0.018823529411764704,0.019753086419753086
NaiveBayes,16,max,0.95,0.5351916632541697,0.5317513063307502,0.5454545454545454,0.044009779951100246,0.08144796380090498,0.040740740740740744
SVM(Linear),16,max,0.95,0.03296761177629156,0.43931125730905013,0.09090909090909091,0.0024449877750611247,0.004761904761904762,0.013580246913580247
